month,delivered_orders,late_orders,late_pct
2016-09-01,1,1,100.0
2016-10-01,265,3,1.13
2016-12-01,1,0,0.0
2017-01-01,750,23,3.07
2017-02-01,1653,53,3.21
2017-03-01,2546,142,5.58
2017-04-01,2303,181,7.86
2017-05-01,3546,128,3.61
2017-06-01,3135,121,3.86
2017-07-01,3872,133,3.43
2017-08-01,4193,139,3.32
2017-09-01,4150,216,5.2
2017-10-01,4478,237,5.29
2017-11-01,7289,1043,14.31
2017-12-01,5513,462,8.38
2018-01-01,7069,464,6.56
2018-02-01,6555,1048,15.99
2018-03-01,7003,1496,21.36
2018-04-01,6798,361,5.31
2018-05-01,6749,556,8.24
2018-06-01,6099,83,1.36
2018-07-01,6159,276,4.48
2018-08-01,6351,660,10.39
